Sport Seats,400
Harman Kardon surround sound system,875
M Sport Suspension,400
Active Driving Assistant,1000
Panoramic Moonroof,1350
Rear Spoiler,150
Dynamic Damper Control,500
Active Cruise Control,1200
Adaptive M Suspension,700
Remote Engine Start,300
Integral Active Steering,1150
2-axle air suspension,1000
Bowers & Wilkins Diamond Surround Sound System,4200
Night Vision with Pedestrian Detection,2300
Multi-contour seats,1300
Rear-seat entertainment Professional,2200
Bang & Olufsen Sound System,4500
Dynamic Damper Control + rear axle air suspension,1500
M Sport Brakes,650
M Steering Wheel,150
M Carbon Roof,3000
Moonroof,1050
M Double-clutch Transmission with Drivelogic,1290
M Drivers Package,2500
M Carbon Ceramic Brakes,8150
BMW Laserlight,6300
