WheelID,WheelDiameter,WheelName,WheelStyle,WheelRunFlat
307696,19, style 437M with performance non run-flat tires,437M with performance non run-flat tires,False
987509,20,20 BMW Individual V-spoke wheels,BMW Individual V-spoke wheels,False
366860,19,19 M Double-spoke forged wheels,M Double-spoke forged wheels,True
413265,19, style 722M with all-season run-flat tires,722M with all-season run-flat tires,False
435917,19,19 V-spoke wheels,V-spoke wheels,True
129420,20,20 V-spoke wheels,V-spoke wheels,False
721064,20, style 738 with all-season run-flat tires,738 with all-season run-flat tires,False
57477,19,19 M Double-spoke bi-color wheels,M Double-spoke bi-color wheels,False
571640,22,22 Multi-spoke bi-color ferric grey wheels,Multi-spoke bi-color ferric grey wheels,True
238216,20,20 ALPINA CLASSIC wheels,ALPINA CLASSIC wheels,False
284545,19,19 M Double-spoke forged black wheels,M Double-spoke forged black wheels,False
997725,19,19 M Double-spoke wheels - style 664M Cerium Gray with all-season run-flat tires,M Double-spoke wheels - style 664M Cerium Gray with all-season run-flat tires,True
754644,20,20 M Double-spoke bi-color wheels,M Double-spoke bi-color wheels,True
513328,20, style 642 with all-season run-flat tires,642 with all-season run-flat tires,False
977980,20, style 692 with all-season run-flat tires,692 with all-season run-flat tires,False
957703,20, style 780 with all-season run-flat tires,780 with all-season run-flat tires,False
380455,19, style 668M with Michelin Pilot Super Sport non run-flat tires,668M with Michelin Pilot Super Sport non run-flat tires,False
399111,20, style 721M with performance run-flat tires,721M with performance run-flat tires,True
53943,18, style 569 with all-season non run-flat tires,569 with all-season non run-flat tires,False
101995,18,18 Double-spoke wheels,Double-spoke wheels,True
842163,20,20 M Double-spoke wheels,M Double-spoke wheels,False
537507,20, style 791M with performance rft,791M with performance rft,False
433733,18, style 688 with all-season run-flat tires,688 with all-season run-flat tires,True
669605,18, style C15 with performance non run-flat tires,C15 with performance non run-flat tires,True
165291,18,18 Y-spoke wheels,Y-spoke wheels,True
734555,19,19 Double-spoke bi-color orbit grey wheels,Double-spoke bi-color orbit grey wheels,False
991832,style755M, style755M with runflat tires,with runflat tires,True
4286,18, style CS16 with performance non run-flat tires,CS16 with performance non run-flat tires,False
722168,19, style 429 with all-season non run-flat tires,429 with all-season non run-flat tires,True
415538,18, style 692 with all-season non run-flat tires,692 with all-season non run-flat tires,False
338567,20, style 635 with performance run-flat tires,635 with performance run-flat tires,True
597868,21,21 ALPINA CLASSIC wheels,ALPINA CLASSIC wheels,False
271809,18,18 V-Spoke wheels,V-Spoke wheels,True
965685,20, style 706M with performance non run-flat tires,706M with performance non run-flat tires,False
335894,20, style 595 with all-season run-flat tires,595 with all-season run-flat tires,True
353517,22,22 V-spoke bi-color black wheels,V-spoke bi-color black wheels,True
593340,20,20 BMW i Double-spoke sport wheels,BMW i Double-spoke sport wheels,False
613849,19,19 Y-Spoke wheels,Y-Spoke wheels,True
58246,19,19 V-Spoke wheels,V-Spoke wheels,False
504479,20,20 M Double-spoke black wheels,M Double-spoke black wheels,True
275527,18, style 668M with performance run-flat tires,668M with performance run-flat tires,True
33228,18, style 698M with all-season run-flat tires,698M with all-season run-flat tires,True
405027,20,20 Star-spoke high gloss wheels,Star-spoke high gloss wheels,True
171700,18, style 757 with runflat tire,757 with runflat tire,True
548055,18, style 649i with performance run-flat tires,649i with performance run-flat tires,True
564229,19, style 620 with all-season run-flat tires,620 with all-season run-flat tires,False
187575,20,20 M Double-spoke black gloss wheels,M Double-spoke black gloss wheels,False
814361,20, style 791M with high-performance non rft,791M with high-performance non rft,True
686422,20, style 647M with performance run-flat tires,647M with performance run-flat tires,False
379067,18,18 V-spoke bi-color orbit grey wheels,V-spoke bi-color orbit grey wheels,False
501231,18, style 491 with performance run-flat tires,491 with performance run-flat tires,True
433095,19, style 695 with performance run-flat tire,695 with performance run-flat tire,True
419964,19,19 M Forged Black Y-Spoke Wheels Style 788 M with Mixed Performance Tires,M Forged Black Y-Spoke Wheels Style 788 M with Mixed Performance Tires,True
